0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
-0.0386699020961393+0.0276213586400995i,0.0139443695127069+0.02430595189544i,-0.0350404280295646-0.025061084187792i,-0.0283903101854208-0.0448448482285295i,0.0168435752591054-0.0306796906001983i,-0.0122164289435734-0.0142187044641142i,-0.0686336867161641-0.0135357702663727i,-0.00906496875220409-0.00512236597044556i,-0.00943674360729839-0.0357494812932132i,0.00135704705098387+0.0207771470099256i,0.0421770489391065-0.00782362064159713i,-0.02094144598475+0.0157284973699402i,0.019996315586545-0.0610783070949108i,-0.0457646148008439-0.0347110839021704i,0.00958299086425965-0.00416248903627377i,-0.00726372859576933+0.0308161775949224i,-0.0123889565439602-0.0220970869120796i,0.063228255355056+0.0248644713935863i,-0.0128175483133515-0.0182750025535813i,0.0768232632006828+0.0248401675289432i,-0.0593596387300449-0.0305325594594385i,-0.0279051321249157-0.0495813793443846i,-0.0122329937420042-0.0522041123426749i,0.00442863153352382-0.0789283932157665i,0.0107116779783101+0.0264184152492932i,0.0593006576187515+0.0495562368278204i,-0.0123312143987295-0.0774484736381912i,-0.0251798619164181+0.0448107183434662i,-0.0398075150718235+0.0248069375126798i,0.00740997794512313-0.00840863663007579i,0.0473086305316061-0.0627479932912004i,0.00162595531229216-0.0364688991381747i,-0.0055242717280199-0.0386699020961393i,-0.0875041889536915-0.014175774020855i,0.0551171309091197-0.0510840072079582i,0.00522148111816628-0.0160932698563082i,-0.0440004339958907+0.0163343281556343i,-0.00564773245973946-0.0127198453357396i,0.00506280544046635+0.0199264129694404i,-0.0538850753148872+0.0688455658636102i,-0.0448493594227819+0.00930870589156574i,0.0291475471472071+0.0519237400677201i,-0.00756191380532364+0.011352789853848i,-0.049900867252147-0.00578593097816782i,-0.0431186384581145+0.0510779381040955i,-0.0333257605218651-0.0022539452448513i,-0.0111765246997917-0.0322022878622559i,0.0172994184940648+0.00823615382650757i,0.00647208691207961+0.00970813036811942i,-0.0307530034340797-0.0552849266796653i,-0.0253977806688324-0.0187532671897412i,0.0103272021537123-0.0411086327963828i,-0.034635184795342-0.0126389240816794i,0.0100794457243541+0.0300911394803843i,-0.0527976828623865+0.00505446198082968i,0.0356152252912783+0.00680799907793321i,0.00535967985831547-0.0571565786957589i,0.0116930395989542-0.0147145527677907i,-0.0388887129007336+0.000607576641030565i,-0.0106157159206009-0.0455838027264642i,-0.00925266873974916+0.0552051886953023i,-0.0107609430494045-0.0222186343990528i,-8.57374314014031e-05+0.104622011042469i,-0.0275043090094773-0.0117546669885247i,-0.00552427172801991-0.0276213586400995i,0.00757034904942919-0.0329298456594514i,0.0718608204751414-0.0572902285421309i,0.00225868264101184-0.0168082712135028i,-0.0238083204525601+0.0828373952077668i,0.0710666691900445-0.0229217589780902i,-0.024167474983298+0.00899720084414754i,-0.0584579485687966-0.0155535361895919i,-0.039333886760821+0.00260385092509377i,0.0448252086596535+0.0237831988213315i,0.0300264437849541+0.00910846505860188i,0.0456012317476397+0.00956993780370664i,-0.0348265957383514-0.080605117775783i,0.0680030644160656+0.00461820355732621i,0.0551606109277882+0.00363643999957746i,-0.00438605218624972-0.0265777748515005i,0.0344860434560398-0.0220970869120796i,0.0368574740029564+0.0112734594902081i,-0.0517775321783913-0.00309485661452908i,-0.0255501368787828-0.0479153638132893i,-0.0305201527896031+0.0429840750022226i,-0.0142182784148986+0.0279661328561216i,-0.00910625595821258-0.0253701504383815i,-0.0729506739829764-0.002488271998402i,-0.0530102214343499-0.021841958705333i,-0.00988501864680774-0.0353037807275685i,-0.0183823304227926+0.0108280152991971i,-0.0343350875318433+0.0327003641189007i,0.006940953202846-0.0309823577934994i,-0.0168671869324621-0.0312601909938226i,0.0323380829903564-0.0124215504634187i,0.00413130047305977-0.0486861169495445i,-0.0165728151840597+0.0165728151840597i,-0.0490694453043484-0.0529000828618112i,-0.027420904093843+0.0239352019402332i,0.0296458103253268-0.0203358592988569i,0.0250768315410269+0.00695214106095647i,-0.020385911946966-0.0269725631879479i,0.0449566785620531-0.0494437877207038i,-0.0399895736285984+0.00123014423262351i,0.0273287290546624-0.0424543362596852i,-0.0930392193264727+0.0437386377595803i,-0.0508620940465894-0.0188076596161139i,-0.0273370149170301-0.0265876579514405i,-0.0174952552142383-0.0343945132334018i,0.0685319949229281+0.0155278475152782i,0.0503211525584145-0.0182399854041051i,-0.0838533824403919-0.000250668784728101i,0.0377220869120796+0.0565831303681194i,-0.0120162810099843+0.0179440903558195i,-0.0187179319244375-0.0454592771169782i,-0.0384818692410595-0.0655249260571211i,-0.0263733713333284+0.0131315823630545i,-0.0246903455471236+0.0157640207100898i,-0.0263872159162948+0.0623815711495562i,0.0194983212515241-0.0730865311845985i,0.0148417766856447+0.0304830352397191i,0.0143432086796857+0.0621420290957104i,0.011628599025949+0.00210038557074699i,0.0390779433448758+0.0261621824584693i,0.0291750567845675+0.0759702315855173i,-0.013308817456723+0.00629939836104922i,0.0482449680829276-0.0226783188089514i,-0.0270198351730288+0.0062044893790433i
0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
-0.0386699020961393+0.0055242717280199i,0.0611143162616338+0.00639256841960702i,-0.00962532661826393+0.0309506068217543i,-0.0392641342054327+0.0281828532881382i,-0.0271170299740823+0.00212572120634556i,0.0122123651087302-0.0957021732276886i,0.0452548824620915-0.0232230649439773i,-0.00164266985669325-0.0056442814112396i,-0.0298163531072582-0.0676431703579975i,-0.0287099140274321+0.0109191411682872i,-0.0323634584128286+0.0341290419813486i,-0.0603867899906212-0.0202479501674209i,-0.00538054670708-0.0343948955105727i,-0.0339975397215633+0.0491193451438415i,-0.00409231123103509+0.0031090410909217i,0.00346002714024227+0.00413081510514648i,-0.0169654130879204-0.0110485434560398i,-0.0129487955568964+0.0502876208010647i,0.0202482621337804+0.0500828480188382i,-0.0376401744410308-0.0360077019865273i,-0.0721678415485863-0.034122962522328i,-0.0135407455926603-0.0486699683863931i,-0.0398256464455629+0.04537424498974i,-0.0364151462429694-0.00552979068612927i,0.0387256345222703+0.0244873480549402i,0.0158347513210355-0.0221106115058362i,0.00317115559000711+0.0344130779221504i,0.0503676560985269-0.0253252854775766i,-0.104128637435228-0.0155202128456366i,-0.00829699416086552+0.0423788369278763i,-0.00387386345723109-0.0176136427521447i,0.0707594144108583-0.0119911484254716i,-0.0276213586400995-0.0386699020961393i,0.0230512423542248-0.0241420724669699i,0.0278687556369864-0.000855748575424038i,0.0334560568166426-0.0797371690614626i,0.0399483319316962+0.0394451166669397i,0.0153505644089762-0.0567163721259622i,0.00243214605452179+0.00963879473569768i,0.0275116814007119+0.0590814851658469i,-0.0161061617475368+0.0123311595653724i,0.0107334738460473-0.0158503556672459i,-0.0202205621795969-0.00883312507151496i,-0.0342432695547455-0.0482680632999469i,0.0238108095282746+0.0439194278025125i,-0.0189785308918829+0.0297684591156884i,-0.057718760894971+0.00593051814588745i,-0.071643378771951-0.00155712084932435i,0.0422985434560398-0.0363816738241592i,0.0416633860662773+0.0299352084910423i,0.0064735346041753+0.0297753928540129i,0.0617091759644345-0.0341125734636763i,0.014805897730552-0.0130088877016618i,-0.0290331878819378+0.00850242164282054i,-0.0191981893319111-0.0517447157479476i,0.0414261632742635-0.0352044339775151i,-0.0447513635977243-0.0193489397171788i,-0.0130328303226618-0.0131831021939191i,-0.0040663756049823+0.00253010298697091i,0.0148310191866694-0.0264106297801337i,-0.0390434979150398-1.00704199343079e-05i,-0.0514716373681318+0.0656198214131738i,-0.00966478517991314-0.000911248309043725i,-0.0255392265291871-0.0615525775216737i,0.0386699020961393-0.0497184455521791i,-0.0525734318294783-0.0279502133231657i,-0.0358338971470379-0.0680239927389219i,-0.0312087746584206+0.01307575720365i,0.0113940341490248-0.0109110940105388i,-0.0482157112909953+0.0088573418075683i,0.0364524353755921+0.0580655869023314i,-0.0316852394467896-0.087861225448926i,-0.0696205379971001-0.0123774600101219i,-0.0400707301667144-0.0402862080848369i,0.00420427511376654+0.0469747754833632i,-0.0104677504508685-0.0425274305198751i,0.00505136296767114-0.0160807685111095i,-0.0211886124011742+0.0107469337162556i,0.0729388640185707-0.030059070663513i,-0.0133773421951279+0.0449143463949582i,0.0611595869120796-0.0110485434560398i,0.0244367304334607-0.00944362613225206i,-0.0206571441842747+0.0554750244049227i,-0.0277070494318812+0.0142843330555474i,0.00973332026549497+0.0240827286967149i,-0.00657814538103637+0.00653998663085877i,0.0337304281801396-0.0560883888274181i,-0.0036705678120011+0.0358353140511552i,-0.0249962648903897+0.02696410848902i,-0.0392726920010946-0.0191562025704958i,-0.071111384672055-0.0763035118534686i,0.0202224762754694-0.0243503924993054i,-0.0129403488895113+0.0286684524115568i,-0.0568239051828038+0.0165539211112448i,0.0268638446510876+0.047438524291171i,0.0163926615191803+0.0388483627390549i,-0.0386699020961393+0.0165728151840597i,0.00279132966703117-0.0255930690763513i,0.0460345239548267+0.0384872714908754i,0.00297719200037845-0.0229410471314394i,0.00702466389336133-0.0123539176869057i,-0.00822725380241476+0.00438813152721799i,0.0389089510632386+0.0200353025668018i,0.0137014856130559-0.0134879600838223i,-0.0833307293568215+0.00139821006650823i,-0.0511638914552436+0.0174603963744522i,-0.00734610604244296-0.0356399919605709i,0.0466865399775565+0.0301965576426301i,-0.00517579961302492-0.0246937637808303i,0.0474682168772318-0.060156307227616i,-0.0153271841123254-0.0369541472696029i,0.0237315583595226-0.000911439071360844i,-0.0202014565439602-0.0520066738241592i,-0.0556806542626161+0.0722667268554792i,0.0462971177956485-0.0291972284518983i,-0.0200647628266456-0.0575505140753666i,0.0163786235525393-0.0836450522968844i,-0.0489385186941622-0.000426780214288084i,0.00893916646604958-0.046251933499387i,0.0146920075932402-0.0308199260396438i,-0.0352692667703951-0.054199603738861i,0.06205101437579+0.0104537989111401i,-0.0414617176160271-0.0155761956641194i,0.0307325892399684+0.0299625609761282i,0.0494183104156202+0.0181118308540141i,-0.0315170593219469+0.0191964021454018i,-0.0274316299700233-0.015134148357835i,-0.0277014284563554+0.019972884762308i
0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.0497184455521791+0.0276213586400995i,0.0167464675562367-0.00856811796697636i,0.0234732004778163-0.0235030507634794i,0.086336535034495+0.0271874240203431i,-0.0850081102588364-0.0158252089072992i,-0.0252625509961729+0.0201393648248536i,0.0448417174832641-0.0881127610892253i,0.00128899843431641-0.0140202004669888i,0.00413486072757076-0.118316165607839i,0.00941465251666802-0.0253043864844719i,0.0156988768479178-0.00306562511017311i,-0.00442315864916389+0.0106022645990775i,0.0476969571652108+0.0301190147555504i,-0.0133425485042975+0.0443876062908554i,0.0312558823055318-0.0412970171725907i,-0.0227242831802952+0.000910926034682305i,0-0.0299095869120796i,0.00286649679669647+0.0332268354410186i,-0.0324964009966402+0.0111817219457054i,0.0300677918278227+0.0589541872380435i,-0.00322299556828217+0.00316807234235733i,-0.0374582627972053+0.0069439928695019i,0.0168430407744395+0.0115102030655882i,0.0114509003486454-0.0087904936919625i,-0.0235115555326622+0.015137103738861i,-0.0322788737736504-0.00225917969947582i,0.0464422524228858-0.0904687420445705i,0.0456828671216392-0.0461565257797718i,-0.0554956105259938+0.0212006568297646i,-0.0247845440920256-0.0494562163877901i,-0.0543495104488843-0.0148679080743036i,-0.0131350634925339-0.0353652201790866i,0.00552427172801991+0.0386699020961393i,-0.00767351147757928+0.0352096344335499i,0.014451809014598-0.0106657022212423i,-0.0327850992555301+0.00188052228531608i,0.0111604230041515-0.00401997461475607i,0.0142438205533305-0.0188583244576272i,0.0198263991056341-0.0559094346743839i,-0.0204167049301677+0.0189554624643359i,0.0120290979985539+0.0433838283372136i,0.0572610394510007+0.0258604316477113i,0.00981213567018907-0.0712360710857895i,-0.00209108362062484+0.029349379345926i,0.00390007446475837+0.00556237723591102i,0.0269028283984848-0.0102571735451947i,0.0332265307888368+0.11308196747163i,-0.0201170713917916-0.0408773586519788i,-0.0722081303681194-0.0110485434560398i,0.0589287613017765-0.00244595796473863i,-0.0117637930835281+0.0082887140584843i,0.095072845366849-0.0566515191566729i,0.0572102137355843-0.0316621484543103i,0.0456616662846082-0.0127065728637392i,0.0195892049129449-0.0303496329026895i,0.0273712956311499+0.036417355710489i,-0.0410513641729408+0.0145751519450598i,0.0520869873750671+0.0163260210742194i,0.0043965492444725-0.0117142302431992i,0.0494705021222681-0.024741046113236i,0.00752617003092548+0.0116458297397098i,-0.00130408698452723-0.0396457816839436i,-0.027031032219331+0.0439776061670269i,-0.00250979223796882+0.0161302400443386i,-0.0276213586400995-0.0276213586400995i,-0.0158767176705192+0.0147430172460146i,0.00806364851969971+0.0164073402832523i,-0.0337438401818804+0.00419390616630714i,-0.0645982541954718-0.0225281233110077i,0.0588853378891306-0.00978834948555747i,0.0857693458865673+0.0301199308730911i,-0.0252775088220844-0.0101238358407646i,0.0354828565526283-0.0306765516723605i,-0.00454697391434722-0.0612961133466216i,0.039862675154072-0.065042848024113i,-0.00637699529698893-0.0128775019156643i,-0.0367640076663466-0.00921131014798189i,0.00875372939173977-0.000581204960496327i,-0.0256208499835386-0.0417773306392591i,-0.0122753848538823-0.0167408890745265i,0-0.0142845869120796i,0.0649709234385542-0.0309031070662999i,-0.000582991992144188-0.0461371813109702i,-0.0343826435310704-0.0150668683341026i,-0.0223112808235135+0.0485949698088936i,0.0652676105731376-0.0312083958315393i,-0.0082553430437321-0.00924261960026381i,-0.0033440460922966-0.0184415640669627i,0.0437130120766224-0.0197135602828212i,-0.0783082169531879+0.0847089464311369i,0.00366532008296353-0.0051745133712792i,-0.0501262987546842-0.0894278208846808i,0.000229900178118164+0.0105420014516105i,-0.0619442710826248-0.0395120398525176i,0.0474206528060658+0.0173707191236199i,0.0474594102161622+0.0156226204544718i,0.0386699020961393+0.0276213586400995i,0.0595331263332543-0.0061518986013346i,0.0145597569433301+0.0428413873562082i,-0.0271351311697269-0.0347193899197793i,0.000501767625997462+0.042373306833063i,-0.00141987654238463-0.000731520082810317i,0.0480551263041379+0.0316839425874608i,0.00477802810560025+0.0316666138195288i,0.0588386192816452-0.00487654561741259i,-0.0244467621345157+0.00434503580679049i,-0.0169801216282588+0.0225121407452458i,0.0127978375116262-0.0266045882435095i,-0.0148330239636225-0.0135259080193203i,-0.0115242425818212+0.0206945924772112i,-0.0301167815064315-0.00889584931045052i,-0.0442758915802016-0.0920442626384966i,0.00591686963188059-0.0110485434560398i,0.000460028410991466+0.0851320652607219i,-0.0340110550589725-0.00599575082043602i,0.0029872564318593+0.0314112898798182i,0.0178798888320521-0.0201008936969406i,0.0740485025114661+0.00762751954973607i,0.030913030049222+0.00360619791626326i,-0.000608491893207919-0.0324844585349008i,-0.00124717928309899+0.01209839151098i,0.0176392680401911-0.0376232262112442i,0.00379648602991735-0.0333926323385991i,-0.00635138495688978-0.034110408484051i,0.0477395403169501+0.0320556858030744i,0.0600535832757987-0.0120474968609425i,0.0327976297302286-0.0492863613898318i,-0.0526643942614442-0.0275916306788154i
0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
